Response.ID,RL1_Country,RL1_FP.region,RL1_FR.region,RL1_State.abbr,RL1_State,RL2_FIPS,RL2_County,FC1_Owned.ac,FC1_Leased.ac,FC3_Owned.crops.ac,FC3_Owned.natural.ac,FC3_Owned.fallow.ac,FC3_Owned.pasture.ac,FC3_Owned.built.ac,FC4_Leased.crops.ac,FC4_Leased.natural.ac,FC4_Leased.fallow.ac,FC4_Leased.pasture.ac,FC4_Leased.built.ac,FC6_Conv.ac,FC6_Cert.org.ac,FC6_Trans.org.ac,FC6_Noncert.org.ac,FC6_Mngt.3t,FC7_Cropped.percent,FC7_Grazed.percent,FC1_Total.ac,FC8_Csys_3type,CM1_Cur.pre.nev,IC1_Cur.pre.nev,IP1_Cur.pre.nev,RT1_Cur.pre.nev,CR1_Cur.pre.nev_REV,CC1_Cur.pre.nev,BP1_Cur.pre.nev,RB1_Cur.pre.nev,CM1_binary,IC1_binary,IP1_binary,RT1_binary,CR1_binary,CC1_binary,BP1_binary,RB1_binary
R_0dFD9nNLbagNXB7,USA,Mountain,Fruitful.Rim,ID,Idaho,16027,Canyon,600,650,600,0,0,0,0,650,0,0,0,0,1250,0,0,0,Conventional,100,0,1250,Mixed,1,1,3,1,1,1,3,4,1,1,0,1,1,1,0,0
R_0DIKgxwNEZCCoVz,USA,Pacific,Basin.and.Range,CA,California,6043,Mariposa,5,0,1.5,1.5,0.5,1.5,0,NA,NA,NA,NA,NA,0,0,0,5,Organic,25,75,5,Mixed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
R_0emm67Uclb1boml,USA,Pacific,Basin.and.Range,CA,California,6063,Plumas,10000,2500,1200,2500,0,8000,300,0,0,0,0,0,1200,0,0,0,Conventional,10,90,12500,Mixed,1,2,3,3,3,1,3,3,1,0,0,0,0,1,0,0
R_0l9MVvtQTs9umd3,USA,Northeast,Northern.Crescent,ME,Maine,23011,Kennebec,22,0,3.5,17.5,0,0,1,NA,NA,NA,NA,NA,0,3.5,0,0,Organic,3.5,96.5,22,Specialty,1,3,1,3,4,3,1,4,1,0,1,0,0,0,1,0
R_0pSkQWF6bdLosrn,USA,Northeast,Northern.Crescent,PA,Pennsylvania,42061,Huntingdon,95,14,30,59,0,0,1,14,0,0,0,0,0,44,0,0,Organic,100,0,109,Specialty,1,1,3,3,1,1,3,1,1,1,0,0,1,1,0,1
R_0rckhBTCXQmn3yN,USA,Mountain,Basin.and.Range,NM,New.Mexico,35061,Valencia,2,0,1,0,0.25,0.5,0.25,NA,NA,NA,NA,NA,0,0,0,1.75,Organic,70,30,2,Specialty,1,1,1,1,1,1,2,4,1,1,1,1,1,1,0,0
R_10HFa3mo5xOXvLH,USA,Lake.States,Northern.Crescent,MI,Michigan,26161,Washtenaw,30,0,12,15,0,0,3,NA,NA,NA,NA,NA,0,30,0,0,Organic,95,5,30,Mixed,1,1,1,3,1,1,1,4,1,1,1,0,1,1,1,0
R_10Uj3wXJarsVcY0,USA,Lake.States,Northern.Crescent,MI,Michigan,26157,Tuscola,3,40,1,1,0,1,0,20,5,0,10,5,0,0,0,43,Organic,75,25,43,Specialty,1,1,2,3,1,3,1,1,1,1,0,0,1,0,1,1
R_10VFYlBX4uNjCDu,USA,Pacific,Basin.and.Range,CA,California,6045,Mendocino,760,240,760,900,40,0,15,240,150,0,0,1,0,1000,0,0,Organic,100,0,1000,Specialty,1,1,1,1,4,1,1,1,1,1,1,1,0,1,1,1
R_10xtI0bHcreSC9J,USA,Pacific,Fruitful.Rim,CA,California,6079,San.Luis.Obispo,380,25,380,0,0,0,5,25,0,0,0,0,380,0,0,0,Conventional,100,0,405,Specialty,1,1,3,2,4,1,3,3,1,1,0,0,0,1,0,0
